Estação;N__Lab_;X;Y;Folha;Ag (ppm);Al (%);As (ppm);Ba (ppm);Be (ppm);Bi (ppm);Ca (%);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Fe (%);Ga (ppm);Hf (ppm);Hg (ppm);In (ppm);K (%);La (ppm);Li (ppm);LREE (ppm);Mg (%);Mn (ppm);Mo (ppm);Nb (ppm);Ni (ppm);P (ppm);Pb (ppm);Rb (ppm);Sb (ppm);Sc (ppm);Sn (ppm);Sr (ppm);Th (ppm);Ti (%);U (ppm);V (ppm);W (ppm);Y (ppm);Zn (ppm);Zr (ppm)
BM0043;CDP 487;239721;7941627;Monte Carmelo;0.01;2.01;4.0;136.0;3.3;0.35;0.07;0.03;361.26;11.1;14;8.64;14.8;2.99;13.6;0.15;0.02;0.04;0.53;102.8;17.0;464.06;0.23;356;0.3;1.52;8.6;340.0;26.7;112.9;0.62;6.7;4.1;14.5;74.5;0.05;5.35;45;0.1;21.74;51;14.7
BM0044;CDP 488;239969;7942981;Monte Carmelo;0.01;1.1;9.0;186.0;1.8;0.14;0.11;0.04;232.83;6.3;14;2.22;8.4;2.05;7.2;0.05;0.01;0.02;0.27;124.2;6.0;357.03;0.08;355;0.56;3.04;10.4;144.0;41.4;33.4;1.02;5.1;5.2;22.4;30.7;0.01;2.13;25;0.1;13.64;33;9.6
BM0045;CDP 489;236437;7942120;Monte Carmelo;0.01;1.26;2.0;144.0;3.2;0.23;0.07;0.04;199.29;5.5;6;6.69;8.3;1.74;7.6;0.05;0.01;0.02;0.43;112.5;16.0;311.79;0.16;294;0.44;2.16;5.1;50.0;28.2;85.7;0.61;3.6;4.6;20.6;25.1;0.04;2.23;20;0.1;10.98;33;4.6
BM0046;CDP 490;237579;7945520;Monte Carmelo;0.01;0.97;5.0;114.0;1.6;0.2;0.09;0.09;604.27;8.0;20;3.34;10.6;2.27;11.0;0.05;0.01;0.02;0.3;214.0;7.0;818.27;0.14;503;0.5;1.09;13.0;313.0;26.9;45.4;0.68;4.3;2.5;16.5;118.0;0.05;9.41;27;0.2;29.06;28;6.1
BM0047;CDP 491;238999;7945316;Monte Carmelo;0.01;0.89;8.0;106.0;1.4;0.14;0.06;0.05;316.73;6.5;19;2.18;7.8;1.88;7.1;0.05;0.01;0.02;0.25;159.2;6.0;475.93;0.1;346;1.23;1.21;14.0;226.0;26.8;37.3;0.67;3.6;2.0;13.0;60.0;0.03;4.96;23;0.1;14.22;16;4.5
BM0048;CDP 492;239031;7942886;Monte Carmelo;0.01;1.52;6.0;144.0;3.2;0.32;0.08;0.06;230.76;5.1;13;4.38;11.6;2.24;9.7;0.05;0.01;0.03;0.26;133.3;12.0;364.06;0.11;197;0.34;0.71;7.4;53.0;31.1;57.3;0.79;7.1;3.5;13.6;32.6;0.01;3.15;31;0.1;17.73;23;7.3
BM0049;CDP 493;238279;7946291;Monte Carmelo;0.01;0.99;5.0;145.0;1.4;0.11;0.1;0.02;334.88;12.0;19;2.25;10.3;2.58;7.8;0.05;0.02;0.02;0.31;119.1;6.0;453.98;0.15;1134;0.61;1.17;14.3;269.0;25.7;41.3;0.5;3.8;2.0;22.3;63.5;0.04;5.93;24;0.1;17.14;26;3.2
BM0050A;CDP 494;236447;7950407;Monte Carmelo;0.01;1.84;2.0;163.0;2.4;0.13;0.08;0.03;296.24;9.4;25;4.07;19.5;2.34;11.7;0.05;0.02;0.04;0.34;145.5;11.0;441.74;0.18;433;0.4;1.24;14.1;226.0;29.9;63.2;0.45;8.9;3.2;16.3;46.3;0.04;3.98;40;0.1;17.01;32;4.6
BM0051;CDP 495;242984;7949355;Monte Carmelo;0.01;0.96;4.0;123.0;1.8;0.11;0.08;0.08;125.65;4.3;4;3.15;7.2;1.62;5.1;0.05;0.01;0.02;0.3;71.9;6.0;197.55;0.1;302;0.41;1.07;3.8;174.0;24.7;45.6;0.53;2.6;2.2;12.7;18.6;0.03;1.51;15;0.1;7.62;31;2.5
BM0052;CDP 496;240311;7950776;Monte Carmelo;0.01;1.41;3.0;99.0;2.2;0.22;0.05;0.06;349.85;6.0;14;4.66;17.7;2.42;10.4;0.05;0.01;0.03;0.32;102.2;9.0;452.05;0.13;219;0.48;1.1;44.5;134.0;36.3;52.9;0.64;4.7;3.0;11.2;60.6;0.05;4.59;38;0.1;18.29;31;8.1
